姓名,?职位,性别,年份,民族,籍贯,博士,硕士及以上,党员,中央党校经历,参加工作年份,参加工作时的年龄,县委书记,秘书,县长,企业经历,(副)市长,党委(副)书记,省份数量,地区数量,是否有跨省任职经历,潜力
阿布,西藏自治区昌都市委书记,男,1967,回族,西藏,无,有,有,有,1989,22,无,无,有,无,有,无,1,2,无,无
阿更登,青海省海北藏族自治州州长,男,1967,藏族,青海,无,无,有,无,1990,23,无,有,有,有,无,无,2,1,有,无
安伟,河南省三门峡市市长,男,1966,汉族,河南,有,有,有,无,1991,25,无,有,无,无,有,无,1,5,无,无
巴德玛拉,新疆维吾尔自治区博尔塔拉蒙古自治州州长,男,1961,蒙古族,新疆,无,无,有,有,1984,23,无,无,无,有,有,有,3,2,有,无
白凤祥,天津市西青区区长,男,1972,汉族,天津,无,有,有,无,1995,23,无,无,无,无,无,无,1,6,无,无
白加扎西,青海省果洛藏族自治州州长,男,1964,藏族,青海,无,有,有,无,1981,17,有,有,有,无,无,无,1,1,无,无
白松涛,广西玉林市委副书记、市长,男,1972,满族,辽宁,有,有,有,无,,,有,有,无,有,有,有,3,6,有,有
班忠柏,广西壮族自治区防城港市市长,男,1964,壮族,广西,无,有,有,无,1981,17,有,无,有,无,有,无,1,5,无,无
包洪文,海南省三亚市人民政府代理市长,男,1968,汉族,福建,无,有,有,无,1989,21,无,无,无,有,有,有,2,3,有,有
才让太,青海省玉树藏族自治州州长,男,1969,藏族,青海,无,无,有,无,1987,18,有,有,有,有,无,无,2,2,有,无
才仁郎公,那曲市市长,男,1965,藏族,西藏,无,有,有,有,1983,18,无,无,有,无,有,无,1,1,无,无
蔡锦军,广西壮族自治区北海市市长,男,1968,汉族,江西,无,有,有,无,1986,18,无,有,有,无,有,无,2,4,有,无
操龙灿,安徽省池州市市长,男,1965,汉族,安徽,有,有,有,有,1986,21,无,无,无,有,有,无,1,5,无,无
曹炯芳,湖南省湘潭市委书记,男,1964,汉族,湖南,无,有,有,无,,,无,有,无,无,无,无,1,1,无,无
曹立军,湖南省常德市市长,男,1972,汉族,湖南,无,有,有,无,1994,22,无,有,无,无,有,无,1,6,无,有
曹路宝,江苏省盐城市市长,男,1971,汉族,安徽,有,有,有,无,1993,22,无,无,无,有,有,无,2,6,有,无
曹清尧,重庆市荣昌区委书记,男,1963,汉族,湖南,无,有,有,有,1986,23,无,有,无,无,无,无,3,3,有,有
曾菁华,重庆市潼南区委书记,男,1966,汉族,重庆,无,有,有,有,,,无,有,无,无,无,有,2,4,有,无
曾卿,四川省广安市市长,男,1969,汉族,四川,无,有,有,无,1991,22,无,有,无,有,有,无,1,3,无,有
曾文明,江西省赣州市市长,男,1963,汉族,江苏,无,无,有,有,1984,21,有,无,无,无,有,无,2,5,有,无
曾赞荣,北京市通州区委书记,男,1969,汉族,湖南,无,有,有,无,1992,23,无,无,无,有,无,无,1,4,无,有
常丽虹,河北省承德市市长,女,1962,汉族,河北,无,有,有,有,1984,22,无,无,无,无,有,无,1,6,无,无
陈冰冰,安徽省安庆市市长,女,1962,汉族,安徽,无,有,有,有,1982,20,无,有,无,无,有,无,1,1,无,无
陈昌旭,贵州省铜仁市委书记,男,1970,汉族,贵州,无,有,有,有,1988,18,有,有,有,无,有,有,1,5,无,有
陈飞,湖南省副省长,男,1963,汉族,江苏,无,有,有,有,1986,23,无,有,无,有,有,无,1,4,无,无
陈飞,山东省烟台市市长,男,1975,汉族,山东,有,有,有,无,1997,22,无,无,无,有,有,无,1,4,无,有
陈金虎,江苏省常州市市长,男,1967,汉族,江苏,无,有,有,无,1992,25,无,有,无,无,有,无,1,5,无,无
陈敏,广东省梅州市委书记,男,1965,汉族,江苏,有,有,有,无,1991,26,有,有,无,有,有,有,2,8,有,有
陈少荣,贵州省铜仁市市长,男,1966,汉族,贵州,无,无,有,无,1987,21,有,无,无,有,有,无,2,4,有,无
陈新武,湖北省十堰市市长,男,1968,汉族,湖北,无,有,有,无,1990,22,无,有,有,无,有,无,3,5,有,有
陈星,河南省驻马店市委书记,男,1965,汉族,河南,无,有,有,无,1989,24,有,无,有,有,有,有,1,7,无,无
陈训华,贵州省安顺市委书记,男,1961,汉族,贵州,无,有,有,无,1983,22,无,有,无,无,有,无,2,3,有,无
陈晏,"贵州省贵阳市市长,贵州贵安新区管委会主任",男,1963,汉族,江苏,无,无,有,无,1986,23,无,无,无,有,有,无,1,3,无,无
陈振亮,山西省朔州市委书记・,男,1963,汉族,山西,有,有,有,无,1983,20,无,有,无,无,有,无,1,2,无,无
陈之常,江苏省淮安市市长,男,1974,汉族,四川,无,无,有,无,1996,22,无,无,无,无,有,无,1,2,无,有
迟中华,云南省楚雄彝族自治州州长,男,1967,彝族,,无,有,有,无,1990,23,无,有,无,有,无,有,1,1,无,无
储祥好,山西省运城市委副书记、市长,男,1968,汉族,安徽,有,有,有,有,1986,18,无,有,无,有,有,无,3,2,有,无
崔洪刚,山东省泰安市委书记,男,1961,汉族,山东,无,有,有,无,1978,17,无,有,无,有,有,有,1,9,无,无
崔景瑜,甘肃省陇南市市长,男,1963,汉族,辽宁,无,有,有,无,,,无,无,无,有,有,无,1,2,无,无
崔永辉,湖北省荆州市市长,男,1970,汉族,湖北,无,无,有,无,1991,21,无,无,无,无,有,无,1,6,无,有
代小红,重庆市江北区区长,女,1966,汉族,重庆,无,有,有,有,1990,24,有,无,有,无,无,无,1,5,无,无
戴启远,安徽省淮北市市长,男,1963,汉族,安徽,无,有,有,无,1982,19,无,有,有,无,有,无,1,8,无,无
戴源,江苏省盐城市委书记,男,1962,汉族,安徽,无,无,有,无,1982,20,无,有,无,有,有,无,2,5,有,无
邓沛然,河北省石家庄市市长,男,1963,汉族,河北,有,有,有,无,1980,17,无,无,无,有,有,无,1,4,无,有
邓群策,中共衡阳市委书记、市人大常委会党组书记、市人大常委会主任,男,1964,汉族,湖南,无,有,有,有,1984,20,无,有,无,无,有,无,1,1,无,无
邓正权,四川省遂宁市市长,男,1966,汉族,重庆,无,有,有,无,1989,23,无,无,无,无,有,无,1,3,无,无
邓忠,海南省三沙市代市长,男,1968,汉族,广东,无,有,有,无,1991,23,无,有,无,无,有,无,1,2,无,无
迪力夏提・柯德尔汗,新疆维吾尔自治区克孜勒苏柯尔克孜自治州州长,男,1966,柯尔克孜族,新疆,无,有,有,有,1990,24,无,无,无,有,无,有,2,6,有,有
丁纯,安徽省铜陵市委书记,男,1970,汉族,江苏,无,有,有,无,1995,25,无,无,无,有,有,无,2,4,有,无
丁晖,海南省海口市市长,男,1971,汉族,江苏,有,有,有,无,1992,21,无,无,无,有,有,有,3,2,有,有
丁巨胜,甘肃省嘉峪关市市长,男,1967,汉族,甘肃,无,有,有,有,1985,18,无,无,无,无,有,无,1,2,无,无
丁小强,山西省运城市委书记,男,1972,汉族,江苏,有,有,有,有,1995,23,无,无,无,有,有,无,2,5,有,有
丁绣峰,河北省唐山市市长,男,1965,汉族,河北,无,有,有,有,1981,16,无,有,无,无,有,无,1,5,无,无
董卫民,湖北省黄石市委书记,男,1968,汉族,湖北,无,有,有,无,1990,22,无,无,有,无,有,无,2,9,有,有
董晓宇,河北省邢台市市长,男,1969,汉族,河北,无,有,有,无,1987,18,有,有,无,无,有,无,1,7,无,无
董一兵,山西省临汾市委书记,男,1963,汉族,山西,无,有,有,无,1985,22,有,有,有,无,有,无,1,7,无,无
杜小刚,江苏省无锡市市长,男,1976,汉族,江苏,无,有,有,无,1999,23,无,无,无,有,有,无,1,7,无,有
杜延安,安徽省亳州市市长,男,1966,汉族,安徽,无,有,有,无,1988,22,无,有,无,无,有,无,1,2,无,有
杜紫平,四川省宜宾市市长,男,1962,汉族,四川,无,有,有,无,1984,22,有,无,有,无,有,有,1,2,无,无
范波,四川省自贡市委书记,男,1969,汉族,湖北,无,有,有,无,1991,22,无,有,无,无,无,无,2,2,有,无
范中杰,广东省肇庆市委书记,男,1966,汉族,四川,有,有,有,无,,,无,有,无,无,有,有,2,4,有,有
方红卫,陕西省汉中市市长,男,1966,汉族,陕西,有,有,有,无,1989,23,无,无,无,有,有,有,1,3,无,无
费东斌,内蒙古自治区乌兰察布市市长,男,1970,汉族,辽宁,无,有,有,无,1991,21,无,无,无,有,有,有,2,9,有,有
冯韶慧,河北省廊坊市委书记,男,1965,汉族,河北,无,有,有,有,1985,20,无,有,无,有,有,无,1,1,无,有
冯卫华,天津市北辰区委书记,男,1965,汉族,天津,无,无,有,无,1987,22,无,无,无,有,无,无,1,4,无,无
冯玉臻,内蒙古自治区通辽市委书记,男,1963,汉族,内蒙,无,有,有,无,1980,17,无,有,无,有,有,无,2,12,有,无
傅明先,山东省济宁市委书记,男,1964,汉族,山东,无,有,有,无,,,无,无,无,有,有,有,1,6,无,无
高宏志,河北省邯郸市委书记,男,1967,汉族,河北,无,有,有,无,1986,19,无,无,无,无,有,无,2,3,有,有
高洪波,重庆市荣昌区区长,男,1965,汉族,,无,无,有,有,1982,17,无,有,无,有,无,无,2,4,有,无
高键,辽宁省抚顺市市长,男,1969,汉族,山西,无,有,有,无,1992,23,无,有,无,无,有,无,2,5,有,无
龚文密,湖南省邵阳市委书记,男,1961,汉族,湖北,无,有,有,无,1987,26,无,有,无,无,有,无,2,3,有,有
郭安,江西省鹰潭市委书记,男,1962,汉族,江西,无,有,有,有,1981,19,有,无,无,无,有,无,1,7,无,有
郭大进,云南省昭通市市长,男,1974,汉族,安徽,有,有,有,无,1996,22,无,无,无,有,有,有,2,3,有,有
郭锋,广东省清远市委书记,男,1960,汉族,广东,无,有,有,无,1976,16,无,无,无,无,有,无,1,5,无,无
郭浩,河南省鹤壁市市长,男,1974,汉族,江苏,有,有,有,无,1999,25,无,有,无,无,有,无,2,2,有,有
郭亨孝,四川省达州市市长,男,1964,汉族,四川,无,有,有,有,1987,23,无,无,有,无,有,有,1,4,无,有
郭建英,河北省保定市市长,男,1962,汉族,河北,无,有,有,有,1983,21,有,有,有,无,有,无,1,8,无,无
郭灵计,吉林四平市委书记,男,1968,汉族,山西,无,有,有,有,1998,30,无,无,无,有,有,无,3,3,有,无
郭永航,广东省珠海市委书记,男,1965,汉族,山东,有,有,有,无,,,无,有,无,有,无,无,1,3,无,无
郭永红,陕西省商洛市委书记,女,1968,汉族,湖北,无,有,有,无,1990,22,无,无,无,无,有,无,2,7,有,无
虢正贵,湖南省张家界市委书记,男,1964,汉族,湖南,无,有,有,有,1984,20,有,有,有,无,有,无,1,5,无,无
果果,西藏自治区拉萨市市长、城关区委书记,男,1967,藏族,西藏,无,有,有,有,1984,17,无,无,有,无,有,无,1,1,无,无
韩库,黑龙江省伊春市市长,男,1963,汉族,,无,有,有,无,1984,21,有,有,有,有,有,有,1,7,无,无
韩立华,黑龙江省大庆市委书记,男,1963,汉族,黑龙,有,有,有,无,1989,26,无,无,无,无,有,无,1,2,无,无
韩玉起,辽宁省鞍山市委书记,男,1962,汉族,辽宁,无,无,有,无,,,无,有,无,有,无,无,1,1,无,无
杭迎伟,上海市浦东新区区长,男,1969,汉族,江苏,无,无,有,有,1989,20,无,有,无,有,无,有,1,3,无,无
蒿慧杰,河南省漯河市委书记,男,1968,汉族,河南,无,有,有,无,1991,23,无,有,无,无,有,有,1,1,无,有
何光中,湖北省荆州市委书记,男,1962,汉族,湖南,无,有,有,无,1984,22,无,有,无,无,有,有,2,3,有,无
何健,宁夏回族自治区中卫市委书记,男,1965,汉族,江苏,无,有,有,无,1986,21,无,有,无,有,无,无,2,3,有,无
何良军,广西壮族自治区崇左市市长,男,1971,汉族,,无,有,有,无,1994,23,无,无,无,有,有,有,2,5,有,无
何录春,广西壮族自治区贵港市市长,男,1971,汉族,湖南,无,无,有,无,1995,24,有,无,有,无,有,有,2,8,有,有
何平,四川省巴中市市长,男,1964,汉族,四川,无,有,有,有,1986,22,有,无,无,有,有,有,1,3,无,无
何庆,重庆市北碚区区长,男,1968,汉族,四川,无,有,有,无,1989,21,无,无,无,有,无,无,2,2,有,无
何树平,四川省自贡市市长,男,1968,汉族,四川,有,有,有,无,1987,19,有,有,有,无,有,有,2,5,有,无
何辛幸,广西壮族自治区河池市委书记,男,1962,汉族,山东,无,有,有,无,1983,21,无,无,无,有,有,无,2,4,有,无
何友生,重庆市巴南区区长,男,1966,汉族,重庆,无,有,有,无,1988,22,无,有,无,无,无,有,1,3,无,无
何智能,天津市红桥区代理区长,男,1975,汉族,湖南,有,有,有,无,1999,24,无,无,无,无,无,无,2,5,有,有
何中伟,浙江省舟山市市长,男,1970,汉族,河北,有,有,有,无,1993,23,无,有,无,无,有,无,1,3,无,无
何忠华,黑龙江省大庆市市长,男,1963,汉族,黑龙,无,有,有,无,1980,17,无,有,无,无,有,无,1,6,无,无
贺懋燮,安徽省芜湖市市长,男,1963,汉族,安徽,无,有,有,无,1984,21,无,无,无,无,有,无,1,7,无,无
贺亦农,天津市津南区区长,男,1965,汉族,天津,无,有,有,无,1986,21,无,无,无,无,无,有,1,7,无,有
贺志亮,吉林市委副书记、市政府党组书记、市长,男,1970,汉族,内蒙,无,有,有,无,1995,25,有,有,无,有,有,无,2,6,有,无
侯红,河南省开封市委书记,女,1967,汉族,河南,无,有,有,有,,,无,有,无,无,有,无,1,2,无,有
胡斌,四平市代市长,男,1976,汉族,江西,有,有,有,无,1998,22,无,无,无,有,有,有,2,2,有,有
胡海峰,浙江省丽水市委书记,男,1972,汉族,安徽,无,有,有,无,1998,26,无,无,无,无,有,无,1,2,无,有
胡启生,安徽省铜陵市市长,男,1971,汉族,安徽,有,有,有,无,1993,22,无,有,无,无,有,无,2,8,有,有
胡五岳,河南省许昌市委书记,男,1963,汉族,河南,无,无,有,有,,,无,有,无,无,有,无,1,3,无,无
胡元坤,四川省眉山市市长,男,1970,汉族,江苏,有,有,有,无,1991,21,无,有,无,无,有,无,2,4,有,有
黄钦,江苏省无锡市委书记,男,1962,汉族,江苏,无,有,有,有,1985,23,无,有,无,有,有,有,2,5,有,无
黄伟,遵义市市长,男,1972,汉族,贵州,无,有,有,无,,,无,有,无,有,有,无,1,3,无,无
黄喜忠,江西省南昌市市长,男,1969,汉族,广东,有,有,有,无,1993,24,无,无,无,有,有,无,2,4,有,无
黄晓武,安徽省淮北市委书记,男,1965,汉族,安徽,无,有,有,有,1983,18,有,有,有,无,有,无,1,5,无,无
黄玉林,重庆市渝中区委书记,男,1963,汉族,重庆,无,有,有,有,1981,18,有,有,无,无,无,无,2,3,有,有
黄宗华,重庆市武隆区委书记,男,1964,汉族,重庆,有,有,有,有,1984,20,有,无,无,有,无,有,5,6,有,无
惠进才,陕西省宝鸡市市长,男,1962,汉族,陕西,无,有,有,无,1982,20,有,无,有,无,有,有,3,7,有,无
惠新安,山东潍坊市委书记,男,1963,汉族,山东,无,有,有,无,,,无,有,无,有,无,无,1,3,无,有
霍好胜,河南省南阳市市长,男,1963,汉族,河南,无,有,有,无,1982,19,无,无,有,无,有,有,1,7,无,有
贾瑞云,四川省攀枝花市委书记,男,1963,汉族,河南,无,有,有,无,1981,18,有,有,无,有,无,无,2,5,有,无
蹇彪,辽宁省朝阳市委书记,男,1964,满族,辽宁,有,有,有,无,1988,24,无,有,无,有,有,有,1,6,无,无
江涛,重庆市沙坪坝区委书记,男,1962,汉族,重庆,无,无,有,无,1983,21,有,有,有,有,无,无,2,2,有,有
姜德志,天津市河西区区长,男,1964,汉族,天津,有,有,有,无,1986,22,无,无,无,有,无,有,1,7,无,无
姜国杰,重庆市铜梁区区长,男,1976,汉族,山东,有,有,有,无,2003,27,有,无,无,有,有,无,3,3,有,有
姜建军,广东省湛江市市长,男,1964,汉族,河南,无,有,有,无,,,无,无,无,有,有,无,3,7,有,无
姜四清,山西省阳泉市委书记,男,1965,汉族,湖北,有,有,有,无,1986,21,无,无,无,有,有,无,3,3,有,无
蒋斌,江西省新余市委书记,男,1968,汉族,安徽,无,无,有,有,1988,20,无,无,无,无,有,无,1,3,无,有
焦兰生,广东省阳江市市委书记,男,1962,汉族,河南,无,有,有,有,1982,20,无,无,无,有,有,有,1,4,无,无
金寿浩,吉林省延边朝鲜族自治州州长,男,1962,朝鲜族,吉林,无,有,有,有,1979,17,无,无,无,无,无,有,2,7,有,有
金之镇,新疆维吾尔自治区昌吉回族自治州党委副书记、州长,男,1970,回族,江苏,无,有,有,无,1991,21,无,无,无,有,无,有,2,7,有,无
靳磊,四川省德阳市委书记,男,1970,汉族,河南,无,有,有,无,1992,22,无,有,无,有,有,无,2,5,有,无
康涛,福建省泉州市委书记,男,1963,汉族,江苏,无,有,有,无,1984,21,无,无,无,无,有,无,1,4,无,无
孔晓宏,安徽省宣城市市长,男,1966,汉族,安徽,无,有,有,无,1989,23,无,无,有,有,有,无,1,5,无,无
库尔玛什・斯尔江,新疆维吾尔自治区伊犁哈萨克自治州州长,男,1959,哈萨克族,新疆,无,有,有,有,1984,25,无,无,无,无,无,有,2,5,有,有
兰开驰,四川省雅安市委书记,男,1961,汉族,四川,无,有,有,有,1980,19,有,有,有,有,有,有,1,5,无,无
蓝庆华,重庆市璧山区委书记,男,1966,汉族,重庆,有,有,有,无,1994,28,有,无,无,有,无,有,1,1,无,无
雷应敏,广西壮族自治区来宾市市长,男,1964,汉族,广西,无,有,有,无,1986,22,无,有,无,有,有,无,1,6,无,无
李爱武,湖南省岳阳市市长,女,1968,汉族,湖南,无,有,有,无,,,无,无,无,有,有,无,1,1,无,无
李步彬,重庆市大足区区长,男,1963,汉族,重庆,无,无,有,无,1982,19,无,有,有,无,无,有,2,2,有,无
李成辉,新疆维吾尔自治区哈密市委书记,男,1968,汉族,甘肃,无,有,有,无,1988,20,无,无,有,有,有,有,2,4,有,无
李春临,陕西省榆林市市长,男,1968,汉族,黑龙,无,有,有,无,,,无,无,无,有,有,无,1,3,无,有
李大义,黑龙江省大兴安岭地委书记,男,1961,汉族,,无,有,有,无,1982,21,有,有,无,有,有,无,1,6,无,无
李峰,枣庄市委书记,男,1961,汉族,山东,无,有,有,无,1977,16,无,有,有,有,有,无,1,6,无,无
李公乐,河南省安阳市委书记,男,1962,汉族,河南,无,无,有,无,,,有,无,有,无,有,有,1,10,无,无
李红军,广东省茂名市委书记,男,1965,汉族,湖北,有,有,有,有,1987,22,无,有,无,无,有,有,2,3,有,无
李宏庆,广西壮族自治区贺州市委书记,男,1963,汉族,广西,无,有,有,无,1985,22,无,无,无,有,有,无,1,3,无,有
李建成,福建省龙岩市委书记,男,1967,汉族,天津,无,有,有,有,1988,21,无,有,无,无,无,有,2,7,有,无
李建辉,福建省莆田市市长,男,1963,汉族,福建,无,有,有,有,1981,18,有,无,无,无,有,有,1,6,无,无
李建勤,四川省广安市委书记,男,1963,汉族,江苏,有,有,有,有,1987,24,无,有,无,无,有,无,2,3,有,有
李宽端,山东省东营市委书记,男,1963,汉族,山东,无,有,有,无,1985,22,有,无,无,无,有,有,1,7,无,无
李猛,山东省德州市委书记,男,1967,汉族,安徽,无,有,有,无,1987,20,无,有,无,无,无,无,2,7,有,无
李世峰,黑龙江省黑河市市长,男,1976,汉族,浙江,无,有,有,无,,,无,无,无,无,有,无,2,6,有,有
