姓名,副科级,正科级,副处级,正处级,副厅级,正厅级,副部级,正部级,现级别,工作省份,工作地区,企业经历,(副)市长,党委(副)书记
王宁,0,1987,1994,0,0,2006,2015,0,7,北京,"宣武区,兴县,城区,西城区,北京,郊区",0,1,0
王少峰,0,0,0,0,0,0,0,0,0,北京,北京,0,0,0
程连元,0,0,0,0,0,2012,2016,0,7,"北京,云南","北京,朝阳区,朝阳,昆明",1,0,1
吴桂英,1993,1994,1994,1998,2008,2012,2018,0,7,"北京,湖南","北京,朝阳,朝阳区",1,0,0
隋振江,0,0,0,0,1999,2004,2015,0,7,北京,"北京,城区,西城区,海淀区",1,1,0
夏林茂,0,0,0,0,0,2011,0,0,6,北京,"东城区,城区,北京,石景山区",0,0,0
卢映川,0,0,0,0,0,2013,0,0,6,北京,"北京,城区,顺义区,西城区",0,0,0
侯君舒,0,0,0,0,0,2010,0,0,6,北京,"北京,昌平区",0,0,0
齐静,0,0,0,0,0,2011,2017,0,7,北京,"北京,怀柔区",0,0,0
常卫,0,0,0,0,0,0,0,0,6,北京,"北京,石景山区",0,0,0
张吉福,0,0,0,0,0,2010,2016,0,7,"北京,山西","北京,大同,平谷区",1,0,1
李志军,0,0,0,2012,0,0,0,0,6,北京,"北京,延庆县",0,0,0
冀国强,0,1993,1998,2000,0,2015,2017,0,7,"北京,天津","宣武区,天津,蓟县,北京,静海县,津,代县",0,0,1
李树起,0,0,0,0,1998,2008,2015,0,7,天津,"南区,津南区,天津,津,宁河县",0,1,1
袁桐利,0,1986,1994,0,2000,2002,2012,0,7,"天津,河北","天津,大连,新区,津,武清区",1,0,1
宗国英,0,0,0,0,2009,2010,2013,0,7,"天津,云南","津,天津,新区",1,1,1
田向利,0,1985,1992,1995,1996,2001,2008,0,7,"四川,河北","西区,唐山,石家庄,张家口,桥西区,秦皇岛",0,0,0
商黎光,0,1989,1992,1997,1999,2013,2016,0,7,"河北,山西","平乡县,秦皇岛,沧州,邢台",0,1,0
高宏志,0,0,0,0,2001,2003,0,0,6,"北京,河北","北京,邯郸,衡水",0,1,0
回建,0,1985,1991,1993,0,0,0,1999,6,"天津,河北","唐山,天津,邯郸,张家口,河间,津,沧县,沧州",0,1,1
孟祥伟,0,1993,1996,1999,2008,2013,0,0,6,"湖北,河北","保定,秦皇岛,兰州,邢台,咸宁,代县,阜平县,赵县,徐水县,沙河",1,1,0
聂瑞平,0,0,1987,1996,2003,2011,2018,0,0,河北,"保定,秦皇岛,廊坊,献县",0,1,1
邢国辉,0,1985,1991,1994,0,2011,2016,0,7,河北,"张家口,正定县,石家庄",1,1,0
焦彦龙,0,1988,1990,1993,1996,2003,2015,0,7,河北,"唐山,沧州,衡水",0,1,0
冯韶慧,1987,1993,0,1996,0,2002,0,0,6,河北,廊坊,1,1,0
李谦,0,1988,1989,1997,2001,2009,2017,0,0,河北,"保定,石家庄,衡水,新乐,裕华区,深泽县,赵县,郊区",0,1,0
杨慧,0,0,0,0,0,2012,0,0,6,河北,"沧州,衡水",0,1,0
耿彦波,1987,1990,1993,1995,2003,2008,0,0,0,山西,"灵石县,大同,太原,榆次区,和顺县,晋中",0,1,1
李俊明,0,0,1992,1994,0,2000,2018,0,0,山西,"定襄县,太原,大同,忻州",1,1,1
陈永奇,0,1993,1998,2000,0,2011,2018,0,7,"山西,辽宁,西藏","阳泉,大连",0,1,0
胡玉亭,1989,0,0,0,0,2011,2018,0,7,"北京,山西","北京,大同,太原,晋中",1,1,0
王清宪,0,0,0,0,0,2008,2016,0,7,"山东,黑龙江,山西","晋城,运城,青岛,吕梁",0,1,0
郑连生,0,1992,1998,2001,2004,2012,0,0,6,山西,"忻州,长治,代县,长治县,临汾",0,1,0
罗清宇,0,0,0,1995,0,2008,2016,0,7,山西,"忻州,大同,太原,临汾,原平",1,1,1
岳普煜,0,0,0,0,0,2012,2018,0,0,山西,"临汾,太原",1,1,1
秦义,0,0,0,0,2006,2011,2018,0,7,"内蒙古,江西","赤峰,呼和浩特,克什克腾旗,呼伦贝尔,内蒙古自治区",1,1,1
包钢,1994,0,1998,0,2006,2013,2018,0,7,内蒙古,"包头,阿拉善盟,呼和浩特,乌海,内蒙古自治区,乌审旗",0,1,0
云光中,0,0,0,1997,2001,2006,2014,0,0,内蒙古,"满洲里,鄂尔多斯,呼和浩特,乌海,呼伦贝尔,内蒙古自治区",0,1,0
段志强,0,1994,0,2002,2006,2011,2018,0,7,内蒙古,"海拉尔区,新巴尔虎右旗,赤峰,呼伦贝尔,内蒙古自治区,巴彦淖尔",1,1,0
杜学军,0,0,0,0,0,0,1993,0,6,"北京,内蒙古","石景山区,满洲里,包头,额尔古纳,兴安盟,北京,乌兰察布,内蒙古自治区,呼伦贝尔,陈巴尔虎旗",1,1,0
张院忠,1987,1990,0,0,1999,0,2016,0,7,内蒙古,"包头,锡林郭勒盟,呼和浩特,内蒙古自治区,土默特左旗",0,1,0
冯玉臻,0,0,0,2000,2004,2017,0,0,6,"海南,内蒙古","和林格尔县,南区,海南区,阿拉善盟,新区,乌兰察布,呼和浩特,乌兰察布盟,内蒙古自治区,乌海,通辽,玉泉区",1,1,0
陈海波,0,0,0,0,0,1998,2008,0,7,"黑龙江,辽宁","盘锦,沈阳,鞍山,哈尔滨,海城",0,1,1
吴忠琼,0,0,1997,1998,0,2010,2018,0,7,"北京,江西,辽宁","北京,鞍山",1,1,0
高宏彬,0,0,0,2002,2007,2010,0,0,6,"辽宁,新疆","沈阳,塔城,抚顺,本溪,东陵区,法库县,代县",1,1,0
王正谱,0,0,1994,1997,2008,2010,2016,0,7,"北京,安徽,四川,辽宁","合作,任县,辽阳,北京,涡阳县",0,1,0
孙国相,0,0,0,0,0,2002,2018,0,7,辽宁,"盘锦,鞍山",0,1,0
蹇彪,1989,1993,0,0,1998,2010,0,0,6,辽宁,"朝阳,盘锦,沈阳,新区,桂林,新城子区",1,1,1
王明玉,0,1991,1994,1996,0,2010,2018,0,7,辽宁,"朝阳,锦州",0,1,1
高广滨,0,0,1992,0,0,1997,2007,0,7,吉林,"龙井,通化,松原,长春,吉林,公主岭",0,1,1
姜治莹,0,0,0,0,0,1996,2012,0,0,吉林,"延边朝鲜族自治州,双阳区,长春,吉林,白城",0,1,1
金育辉,1991,0,1994,0,2000,2011,2017,0,0,吉林,"通化,松原,前郭尔罗斯蒙古族自治县,吉林,临江,扶余县,辽源",0,1,0
李相国,0,0,0,1989,0,0,2009,0,6,吉林,"吉林,松原,长春",1,1,0
张安顺,0,0,1994,1997,0,2001,2011,0,7,"吉林,黑龙江","通化,延边朝鲜族自治州,长春,吉林,朝阳区,朝阳",1,1,0
李景浩,0,0,0,1985,2007,2013,2017,0,7,吉林,"龙井,吉林,和龙,延边朝鲜族自治州",0,1,0
康志文,1983,0,1989,1997,2002,2013,0,0,0,黑龙江,"穆棱,密山,大庆,鸡西,牡丹江",0,1,0
张雨浦,0,1990,1996,0,2004,2004,2016,0,7,"台湾,黑龙江","鹤岗,哈尔滨,望奎县,兰西县,呼兰县,牡丹江",0,1,0
王爱文,0,0,1995,0,0,2005,2016,0,0,"安徽,四川,黑龙江,河北","伊春,霍山县,佳木斯,康保县",0,1,0
高环,0,0,1993,1999,2001,2005,0,0,0,,"齐齐哈尔,伊春",1,1,0
王兆力,0,0,1992,0,0,2000,2017,0,7,黑龙江,"汤原县,佳木斯,哈尔滨,鸡西",1,1,1
孙喆,0,0,0,0,0,1999,2018,0,7,黑龙江,"双鸭山,齐齐哈尔,佳木斯,哈尔滨",1,1,0
韩立华,1991,1992,1996,2000,2012,2012,0,0,6,黑龙江,"七台河,大庆",0,1,0
张恩亮,0,0,0,0,2000,2002,0,0,6,黑龙江,"黑河,绥滨县,鹤岗,望奎县",0,1,0
过剑飞,0,0,2006,2010,0,0,0,0,6,上海,"徐汇区,浦东新区,上海,新区",0,0,0
程向民,0,0,0,2013,0,0,0,0,6,上海,"松江区,普陀区,上海",0,0,0
翁祖亮,0,0,0,0,0,1998,2017,0,7,上海,"卢湾区,浦东新区,闸北区,黄浦区,新区,上海,北区",1,0,1
安路生,0,0,0,0,0,0,2009,0,6,上海,"闸北区,成都,上海,武汉,北区,郑州,静安区",0,0,1
吴清,0,0,0,2010,0,0,2018,0,7,上海,"虹口区,上海",0,1,1
曹立强,0,0,0,2013,0,0,0,0,6,上海,"虹口区,普陀区,上海",1,0,1
陈寅,1989,0,0,0,0,2003,2016,0,7,上海,"徐汇区,杨浦区,上海",1,1,0
诸葛宇杰,0,0,0,2013,0,0,2017,0,7,上海,"杨浦区,上海",1,0,1
汪泓,0,0,0,2012,0,0,0,0,6,上海,"上海,宝山区",1,0,0
方世忠,0,0,0,2013,0,0,0,0,6,上海,"徐汇区,上海,宝山区",0,0,1
沈晓明,0,0,0,0,0,0,2008,2017,8,"上海,海南,浙江","上海,浦东新区,温州,新区",0,1,1
李跃旗,0,0,0,2011,0,2019,0,0,6,浙江,"金山区,杨浦区,台州",1,0,0
赵惠琴,0,0,0,2012,0,0,0,0,6,上海,"青浦区,上海",0,0,1
庄木弟,0,0,0,2013,0,0,0,0,6,上海,"上海,奉贤区",1,0,0
黄莉新,1987,1989,1993,1996,0,1997,2003,2018,8,江苏,"无锡,南京,沭阳县,新区",0,0,0
汪泉,0,1990,1994,1995,2013,0,2013,0,0,江苏,"睢宁县,常州,苏州,南京,沭阳县,无锡",1,1,1
费高云,0,1995,2000,0,2004,2008,2018,0,7,江苏,"启东,仪征,常州,南通,通州区,通州,扬州",0,1,1
周乃翔,0,0,1995,0,2003,2010,2016,0,0,"江苏,上海","苏州,南京,上海,泰州",1,1,0
张国华,0,1995,0,2002,2005,2011,2018,0,7,"江苏,云南","徐州,苏州,吴江,昆山,南京,南通",1,1,1
姚晓东,0,0,1990,1993,1996,2004,2020,0,0,江苏,"淮安,南京,常州,沭阳县",1,1,1
谢正义,0,1996,1996,0,0,2000,0,0,0,江苏,"徐州,扬州",1,1,1
张雷,0,0,0,0,0,1982,2014,0,7,"江苏,辽宁","沈阳,合作,苏州,新区,泰州,昆山,南京",1,1,1
陆志鹏,0,0,0,1999,2002,2010,0,0,0,江苏,"建邺区,南京,南通,泰州",1,1,0
男,0,1996,1998,1999,0,2001,2017,0,7,江苏,"启东,苏州,泰州,如皋,新区,南京,宿迁,南通",1,1,1
龚正,0,0,0,1986,0,0,2008,2017,8,"山东,浙江,天津,上海","天津,深圳,津,上海,杭州",1,1,0
刘奇,0,0,0,0,0,1996,2008,2016,8,"江西,浙江","义县,温州,武义县,衢州,宁波",1,1,1
陈金彪,0,0,0,0,0,2015,2016,0,7,浙江,绍兴,0,1,0
鲁俊,0,0,0,0,0,2010,0,0,6,浙江,嘉兴,1,1,0
周江勇,0,0,2001,2002,0,2012,2017,0,7,浙江,"象山县,温州,新区,代县,鄞州区,余姚,舟山,杭州,宁波",0,1,1
张兵,0,0,0,0,0,2013,0,0,6,浙江,"嘉兴,丽水,台州",0,1,1
王永康,0,0,1991,1996,1998,2009,2016,0,7,"重庆,黑龙江,浙江,上海,陕西","西安,重庆,哈尔滨,丽水,上海,武汉,余姚,宁波",1,1,0
吴存荣,0,1991,0,1995,0,1999,2011,0,7,"安徽,重庆","重庆,合肥,枞阳县,新区",0,1,0
潘朝晖,0,1988,0,0,2002,2013,0,0,6,"安徽,江苏","中区,黄山,歙县,芜湖,南通",0,1,0
王宏,1996,0,1997,2001,2002,2006,0,0,0,安徽,"鞍山,中区,淮南,马鞍山,南京,池州",0,1,0
黄晓武,0,1991,1998,2001,0,2013,0,0,6,安徽,"怀宁县,安庆,淮北,代县,望江县",0,1,0
宋国权,0,0,1996,2007,0,2009,2016,0,0,安徽,"合肥,鞍山,中区,铜陵,巢湖,马鞍山,黄山,新区,芜湖",1,1,1
侯淅珉,0,0,1992,1995,2010,2011,2017,0,7,"吉林,安徽","吉林,铜陵",0,1,0
虞爱华,0,1992,1998,0,2002,2006,2016,0,7,安徽,"安庆,霍山县,合肥,宣城",0,1,0
魏晓明,0,0,0,0,0,2013,0,0,6,安徽,安庆,0,1,0
任泽锋,0,1996,1997,2000,2003,2013,0,0,6,"安徽,内蒙古","黄山,合作",1,1,0
张祥安,0,1990,1995,0,2002,2012,0,0,6,安徽,"中区,滁州,阜阳,含山县,六安",0,1,0
李平,0,1978,0,1989,2006,2013,2018,0,0,安徽,"合肥,潜山县,怀宁县,枞阳县,安庆,阜阳,池州",0,1,1
张曙光,0,0,0,2001,2003,2010,2016,0,7,安徽,"宿州,阜阳,池州",0,1,0
史翔,1990,1992,0,0,2008,2013,0,0,6,安徽,"宿州,合肥",0,1,0
姚玉舟,0,0,1990,1992,1995,2003,2016,0,0,"安徽,天津","东至县,天津,鞍山,滁州,淮南,铜陵,马鞍山,凤台县,津,大通区,宣城",1,1,0
韩军,0,1992,0,1999,2003,2012,2018,0,0,安徽,"阜阳,芜湖,宣城",0,1,0
孙云飞,0,1984,1993,1998,2001,2005,2016,0,7,安徽,"六安,杜集区,淮北,阜阳",0,1,0
沈强,0,1979,0,1999,2003,2010,2018,0,7,安徽,"宿州,淮南,亳州,淮北,砀山",0,1,0
杨岳,0,0,0,0,1999,0,2008,0,7,"北京,江苏,福建","通州区,通州,北京,福州",0,0,0
梁建勇,0,0,0,0,1997,0,2001,0,7,"北京,福建","北京,莆田,福州,龙岩",0,1,0
杜源生,0,0,0,2002,2007,2012,2018,0,0,福建,"闽侯县,福州,福清,三明,平潭县",0,1,0
郑新聪,0,0,0,0,2010,2011,2018,0,7,福建,"宁德,泉州",1,1,1
檀云坤,0,0,0,1998,0,2004,2018,0,0,福建,漳州,0,1,0
裴金佳,0,0,0,0,1999,2006,2015,0,0,福建,"南平,厦门,思明区",0,1,0
林宝金,0,0,0,0,2005,2008,2019,0,7,福建,"南平,莆田",0,1,1
王文涛,1991,1992,0,0,2002,2005,2011,2018,8,"江西,黑龙江,上海,山东,云南","松江区,黄浦区,南昌,济南,上海,昆明",1,1,1
郭安,0,0,1995,2000,2002,2006,0,0,6,江西,"樟树,南昌,鹰潭,景德镇,万载县,高安,宜春",0,1,0
刘昌林,1988,0,1990,1992,0,2008,2015,0,7,"北京,江西,湖北,甘肃","北京,景德镇",0,1,0
颜赣辉,0,0,0,0,0,0,0,0,0,,,0,0,0
李小豹,0,0,0,0,0,2010,0,0,6,"湖南,江西","永兴县,兴县,南昌,青山湖区,萍乡",0,1,0
殷美根,0,0,0,1993,2008,2011,2015,0,7,江西,"新区,九江,南昌",0,1,0
钟志生,0,1986,1990,1993,1996,2003,0,0,6,江西,"分宜县,新余,鹰潭,九江,景德镇",0,1,1
刘捷,0,1998,1998,2000,0,2008,0,2011,7,"北京,湖南,江西,贵州","北京,新余,湘潭",1,1,0
陈兴超,0,0,0,1996,0,2001,2016,0,7,江西,"鹰潭,景德镇,吉安",0,1,1
胡世忠,0,0,0,0,0,0,0,0,7,江西,吉安,0,1,0
蒋斌,0,0,0,0,2000,2011,0,0,6,江西,"吉安,新余,宜春",0,1,0
徐景颜,0,1990,1994,0,0,1997,0,0,0,山东,"聊城,淄博,临沂",0,1,1
张术平,0,1986,1995,1997,0,2000,0,0,6,山东,"阜新,临沂,烟台,济宁,安丘,新区,枣庄,潍坊,曲阜",1,1,1
张江汀,0,0,0,0,0,1995,2015,0,7,山东,"诸城,烟台,青岛,青州,潍坊",0,1,0
孟凡利,0,0,0,0,0,2000,2017,0,7,山东,"青岛,烟台",1,1,1
刘曙光,0,0,1993,1997,0,2000,0,0,6,"山东,辽宁","营口,烟台,栖霞,东营,潍坊",1,1,0
孙述涛,0,0,0,0,2001,2008,2018,0,7,山东,"济南,南京,威海,菏泽",0,1,0
张惠,0,0,1995,2001,0,2003,0,0,6,山东,"威海,日照,青岛",0,1,0
李同道,0,0,0,0,2011,2011,0,0,0,山东,"枣庄,日照",1,1,1
林峰海,0,0,0,1992,0,2001,2017,0,7,山东,"聊城,临沂",0,1,0
王忠林,0,1989,1995,2000,0,2007,2016,0,7,"山东,湖北","滕州,中区,山亭区,聊城,城区,枣庄,济南,武汉,峄城区",0,1,1
张光峰,0,0,0,0,1999,2006,0,0,0,山东,滨州,1,1,1
崔洪刚,0,0,1986,1993,2001,2013,0,0,6,山东,"张店区,济宁,新区,滨州,泰安,博山区,周村区,淄博,淄川区",1,1,1
孙爱军,0,0,0,0,0,2001,0,0,6,山东,"聊城,菏泽,烟台",1,1,1
马懿,0,0,1983,1989,1996,2010,2016,0,0,"河南,宁夏","银川,新安县,新区,洛阳,郑州",0,1,0
祁金立,0,1981,1991,1993,2000,2006,0,0,6,河南,"漯河,宝丰县,平顶山,丰县,郑州,开封",0,1,0
张国伟,1983,1985,1992,1994,2001,2013,0,0,6,河南,"方城县,南阳,平顶山,西峡县,新乡,商丘",0,1,1
张文深,1984,0,1986,1989,2002,2011,0,0,6,河南,"禹州,襄城县,许昌县,焦作,南阳,许昌,商丘,郑州,开封,驻马店",0,1,0
魏小东,0,0,1990,1994,2004,2011,2017,0,7,"北京,河南","鹤壁,北京,洛阳,厦门,郑州,商丘",0,1,0
范修芳,0,1986,1989,1990,0,2000,0,0,0,"北京,河南,天津","鹤壁,天津,北京,津,郑州,濮阳",0,1,0
王战营,1989,1991,1993,1998,0,2001,2011,0,6,"河南,广西","武汉,新乡,郑州,商丘",0,1,0
穆为民,0,0,1992,1994,0,2003,2016,0,7,河南,"南阳,郑州,巩义",0,1,0
程志明,1989,1991,1996,1997,2002,2009,2018,0,7,"河南,黑龙江","新乡,郑州,南阳,开封",0,1,0
陶明伦,0,0,0,0,0,0,1979,0,7,"安徽,河南","泌阳县,遂平县,驻马店,沙河,商丘",0,1,0
郭瑞民,0,0,1987,0,2003,2006,2017,0,7,"河南,贵州","郑州,辉县,信阳,封丘县,平顶山,上蔡县,新乡,驻马店",0,1,1
乔新江,1989,1992,0,2000,0,2001,2018,0,7,河南,"郑州,信阳",1,1,0
徐光,1985,0,1988,1992,1996,2006,2017,0,0,"河南,天津","鹤壁,天津,淇县,安阳,津,周口",0,1,0
刘继标,0,0,1995,0,2001,2013,0,0,6,河南,"鹤壁,三门峡,濮阳县,周口,濮阳,驻马店",0,1,1
武国定,0,1983,0,1991,0,2003,2018,0,7,河南,"舞钢,叶县,平顶山,许昌,驻马店",0,1,1
王宇燕,0,0,2002,0,2006,2008,2017,0,7,"河南,山西,青海","项城,运城,修武县,济源,周口",0,1,0
阮成发,0,1985,0,1987,1992,1998,2004,2016,8,"湖北,云南","武汉,襄樊,黄石,武昌区",1,1,0
唐良智,0,0,0,1987,2001,2003,2011,2018,8,"四川,湖北,重庆,上海","重庆,襄樊,成都,上海,武汉,襄阳",1,1,1
周先旺,0,1981,1993,1994,1998,2002,2017,0,7,湖北,"黄石,建始县,恩施,宣恩县,武汉",0,1,1
王君正,0,0,1988,1993,1998,2007,2012,0,7,"吉林,新疆,山东,湖北,云南","丽江,长春,吉林,襄阳,昆明",1,1,1
周霁,0,1994,0,2004,0,2010,2016,0,7,湖北,"仙桃,谷城县,宜昌,襄樊,十堰,宜城",1,1,1
张维国,0,1992,1998,1999,2005,2012,2018,0,7,湖北,"郧县,房县,十堰",1,1,1
黄楚平,0,0,0,2004,0,2007,2012,0,7,湖北,"武汉,宜昌,咸宁,江汉区",0,1,0
马旭明,0,0,0,0,0,2010,2018,0,0,"辽宁,浙江,北京,上海,湖北","黄石,嵊州,宜昌,合作,北京,上海,武汉",0,1,0
万勇,0,0,0,1994,1996,0,2005,0,7,湖北,"武汉,荆门,南区,西湖区",0,1,1
肖菊华,0,1994,0,1997,1997,2005,2019,0,7,湖北,"武汉,青山区,荆州,荆门",0,1,0
李兵,1984,0,1990,1991,1992,2000,2018,0,0,湖北,"武汉,鄂州,黄石,咸宁",1,1,0
刘雪荣,0,1985,1989,1992,0,2000,2018,0,7,湖北,"黄冈,黄石,竹山县,潜江,十堰",0,1,0
陈安丽,0,1987,1991,1996,0,2003,2018,0,7,"湖北,黑龙江","武汉,黄冈,随州",0,1,0
任振鹤,0,0,1988,1990,2001,2008,2015,0,7,"浙江,湖北,江苏,上海","黄冈,鹤峰县,咸宁,利川,恩施,上海,襄阳,普陀区,郊区",1,1,1
丁小强,0,0,0,0,2004,2007,0,0,6,"湖北,山西","运城,合作,咸宁,赤壁,武汉",1,1,0
郄英才,0,1996,0,0,2003,2013,0,0,6,湖北,"襄阳,黄石,随州",0,1,0
周文霞,0,1994,2000,2002,2012,0,0,0,0,湖北,"仙桃,荆门,丰镇,京山县",0,1,1
柯俊,0,0,1993,1997,2007,2017,0,0,0,"湖北,浙江","黄石,铁山区,天门,路桥区,恩施,台州,黄石港区",1,1,1
吴锦,0,1998,2003,2008,0,2019,0,0,6,"湖北,新疆","西陵区,当阳,黄石,兰州,宜昌,天门",1,1,0
黄剑雄,0,2001,2002,2004,2009,2013,0,0,0,"湖北,福建","漳州,潜江,咸宁,延安,厦门",1,1,1
周森锋,0,0,2008,2009,0,0,0,0,0,湖北,"宜城,神农架林区,襄樊",0,1,1
易炼红,0,0,1992,0,0,2000,2011,2018,8,"陕西,湖南,江西,辽宁","沈阳,长沙,邵阳,陵县,岳阳,沅陵县,涟源,株洲",1,0,0
张剑飞,0,0,0,0,0,2007,2013,0,7,湖南,长沙,0,1,1
毛腾飞,1991,1993,1996,2000,2007,2013,0,0,6,湖南,"武冈,长沙,湘潭,郴州,邵阳,株洲",1,1,0
龚文密,0,1992,1993,1995,0,1999,0,0,6,"台湾,湖南","邵阳,张家界,湘潭",0,1,0
盛荣华,0,1985,1989,2001,2003,2011,2016,0,0,"宁夏,湖南","衡阳县,岳阳,衡阳,新区",0,1,0
周德睿,1992,1995,1998,2005,2006,2013,0,0,6,湖南,"常德,永州",0,1,0
杨光荣,0,0,0,2002,2006,2013,2016,0,7,"安徽,湖南","长沙,沙县,张家界,天心区,长沙县,阜阳",0,0,0
许显辉,1992,1994,1996,2000,0,2013,2018,0,7,"湖南,内蒙古","武陵源区,益阳,内蒙古自治区,张家界",0,1,1
胡忠雄同志,0,0,0,0,1997,2011,0,2018,7,"湖南,贵州","长沙,岳阳,新区,益阳,永州",0,1,0
瞿海,0,0,1994,1998,2002,2011,0,0,6,湖南,"益阳,郴州",0,1,0
陈文浩,0,1989,0,1992,2001,2008,2018,0,7,湖南,"长沙,石门县,常德,代县,永州",0,1,0
严华,0,0,0,0,2002,2019,0,0,6,湖南,"韶山,岳阳,永州,湘潭",0,0,0
易鹏飞,1988,1990,1992,1996,0,2008,2018,0,7,湖南,"娄底,怀化,郴州",0,1,0
叶红专,1988,1992,0,2006,0,2008,2018,0,7,湖南,"湘西土家族苗族自治州,龙山县,凤凰县,吉首",1,0,1
王荣,0,0,0,0,0,1999,2004,2015,8,"江苏,广东","苏州,深圳,南京,滨海县,无锡",0,1,1
许勤,0,1988,1992,1997,0,2008,2010,2017,8,"北京,河北,广东","北京,深圳",1,1,0
郑人豪,0,1995,1999,0,0,2003,0,0,6,广东,"珠海,阳江,汕头,中山,湛江",1,1,0
郑振涛,0,1988,0,1995,0,1998,2020,0,0,"湖北,广东",韶关,0,1,0
李贻伟,0,0,0,2000,0,2010,0,0,6,广东,"广州,江门,佛山,惠州",1,1,1
王中丙,0,0,0,1996,2003,2011,0,0,6,"北京,湖北,广东","广州,北京,武汉,荆州,湛江",1,1,0
李红军,0,1993,1999,0,2003,2013,0,0,6,"湖北,广东","当阳,韶关,茂名",0,1,1
郭锋,0,1980,1989,2000,2003,2010,0,0,6,广东,"清远,惠州,肇庆,津,中山",0,1,0
谭君铁,0,0,1996,2000,2004,2007,0,0,0,广东,"城区,梅州,阳江",1,1,0
温国辉,0,1990,1996,2000,0,2007,2015,0,7,广东,"广州,汕尾,湛江",1,1,1
何忠友,0,0,0,1989,0,2007,2016,0,7,"海南,广东","海口,河源",1,0,1
江凌,0,1988,0,0,2004,2011,2017,0,7,"河南,广东","珠海,合作,东莞,清远,韶关",1,1,1
薛晓峰,0,0,0,0,0,2005,2020,0,0,"北京,广东,山西","汾阳,广州,北京,吕梁,武汉,中山",0,1,0
陈良贤,0,0,0,0,0,2012,2018,0,7,广东,"汕头,揭阳,中山",1,1,1
陈绿平,0,1988,0,0,0,2002,2015,0,7,"重庆,辽宁,广东","乐昌,重庆,新区,揭阳,韶关",0,1,0
周红波,0,0,0,2005,2006,2011,2020,0,7,广西,"南京,南宁,新区",0,1,0
郑俊康,0,0,0,1993,2004,2008,0,0,6,广西,"武汉,柳州,南区,新区",1,1,1
赵乐秦,0,0,1989,1992,0,2001,2018,0,7,"陕西,广西","贺州,西安,商洛,崇左,桂林,汉中",1,1,0
黄俊华,0,0,0,0,2008,2013,2018,0,7,广西,"武汉,桂林,梧州",0,1,0
王小东,0,0,0,1985,0,2004,2013,0,7,"北京,广西","钦州,北海,石家庄,合作,南宁,北京",1,0,0
肖莺子,1992,1994,0,1998,2004,2010,2017,0,7,"湖北,广西,海南,浙江","鹿城区,钦州,温州,城区,南宁,兴宁,新区",0,1,0
李新元,0,0,0,1994,2007,2013,0,0,6,广西,"钦州,梧州,柳州,来宾,贵港",1,1,1
王可,0,0,1988,1994,0,2010,2016,0,7,"北京,山东,广西,湖南","长沙,北海,百色,北京,贵港",0,0,1
金湘军,0,0,0,1990,0,1998,2018,0,7,"四川,海南,广西,天津","天津,东兴,津,成都,玉林,防城港",1,1,0
王凯,0,1991,1995,0,1999,0,2008,0,7,"吉林,广西,山西","梧州,长春,吉林,晋城,玉林,武汉",0,1,0
彭晓春,0,0,1992,1996,2000,2008,2018,0,7,广西,"柳州,百色,南宁,贺州",0,0,0
周异决,1991,1993,1996,1999,0,2009,0,0,6,"北京,广西","北京,百色",1,1,0
赵德明,0,1986,0,0,0,2004,2016,0,7,"广西,贵州","贺州,南宁,长春,新区,贵阳",0,0,1
黄世勇,0,1993,1997,1999,0,2005,2015,0,7,广西,河池,1,0,0
何辛幸,0,0,0,1994,2008,2011,0,0,6,"广西,上海","柳州,河池,南宁,上海",1,1,0
肖杰,0,0,0,1989,0,1996,2017,0,7,"北京,海南","北京,三沙,任县,杭州",0,1,1
